@relation nba

@attribute SCORING {'Harden JamesyHOU','George PaulyLAC','Antetokounmpo GiannisyMIL','Embiid JoelyPHI','Curry StephenyGSW','Leonard KawhiyLAC','Booker DevinyPHX','Durant KevinyBKN','Lillard DamianyPOR','Walker KembayBOS','Beal BradleyyWAS','Griffin BlakeyDET','Towns Karl?AnthonyyMIN','Irving KyrieyBKN','Mitchell DonovanyUTA','LaVine ZachyCHI','Westbrook RussellyHOU','Thompson KlayyGSW','Randle JuliusyNYK','Aldridge LaMarcusySAS','DeRozan DeMarySAS','Doncic LukayDAL','Holiday JrueyNOP','Russell D\'AngeloyGSW','Conley MikeyUTA','McCollum CJyPOR','Vucevic NikolayORL','Hield BuddyySAC','Jokic NikolayDEN','Harris TobiasyPHI','Williams LouyLAC','Gallinari DaniloyOKC','Collins JohnyATL','Young TraeyATL','Butler JimmyyMIA','Kuzma KyleyLAL','Middleton KhrisyMIL','Murray JamalyDEN','Wiggins AndrewyMIN','Hardaway TimyDAL','Redick JJyNOP','Bogdanovic BojanyUTA','Drummond AndreyDET','Fox De\'AaronySAC','Siakam PascalyTOR','Simmons BenyPHI','Clarkson JordanyCLE','Dinwiddie SpenceryBKN','Sexton CollinyCLE','Capela ClintyHOU','Harrell MontrezlyLAC','Richardson JoshyPHI','Barnes HarrisonySAC','Ayton DeandreyPHX','Gordon EricyHOU','Gordon AaronyORL','Bledsoe EricyMIL','Gobert RudyyUTA','Tatum JaysonyBOS','Brogdon MalcolmyIND','Nurkic JusufyPOR','Paul ChrisyOKC','Schroder DennisyOKC','Jackson ReggieyDET','Lamb JeremyyIND','Oubre KellyyPHX','Fournier EvanyORL','Ross TerrenceyORL','Wade Dwyane','Ibaka SergeyTOR','Bagley MarvinySAC','Mudiay EmmanuelyUTA','Parker JabariyATL','Lowry KyleyTOR','Bogdanovic BogdanySAC','Sabonis DomantasyIND','Morris MarcusyNYK','Adams StevenyOKC','Jackson JarenyMEM','Gay RudyySAS','Harris JoeyBKN','Kanter EnesyBOS','Grant JeramiyDEN','Horford AlyPHI','Gasol MarcyTOR','Turner MylesyIND','Osman CediyCLE','Brown JaylenyBOS','Knox KevinyNYK','Rubio RickyyPHX','Young ThaddeusyCHI','Millsap PaulyDEN','Winslow JustiseyMIA','Ariza TrevorySAC','Lopez BrookyMIL','Whiteside HassanyPOR','Green JeffyUTA','Matthews WesleyyMIL','Ingles JoeyUTA','McGee JaValeyLAL'}
@attribute GP numeric
@attribute GS numeric
@attribute MPG numeric
@attribute PPG numeric
@attribute PTS/48 numeric
@attribute PTS numeric
@attribute FGM/G numeric
@attribute FGA/G numeric
@attribute FG_percent numeric
@attribute 3FGM/G numeric
@attribute 3FGA/G numeric
@attribute 3FG_percent numeric
@attribute FTM/G numeric
@attribute FTA/G numeric
@attribute FT_percent numeric
@attribute HIGH numeric
@attribute PPS numeric

@data
'Dinwiddie SpenceryBKN',68,4,28.1,16.8,28.7,1143,5.4,12.2,0.442,1.8,5.4,0.335,4.2,5.2,0.806,39,1.38
'Sexton CollinyCLE',82,72,31.8,16.7,25.3,1371,6.3,14.7,0.43,1.5,3.6,0.402,2.6,3.1,0.839,29,1.14
'Capela ClintyHOU',67,67,33.6,16.6,23.8,1114,7.1,10.9,0.648,0,0,?,2.5,3.9,0.636,31,1.52
'Harrell MontrezlyLAC',82,5,26.3,16.6,30.3,1361,6.7,10.8,0.615,0,0.2,0.176,3.2,5,0.643,32,1.53
'Richardson JoshyPHI',73,73,34.8,16.6,22.9,1209,5.8,14.1,0.412,2.2,6.3,0.357,2.7,3.2,0.861,37,1.18
'Barnes HarrisonySAC',77,77,32.9,16.4,24,1265,5.6,13.3,0.42,2.3,5.7,0.395,3,3.6,0.824,30,1.23
'Ayton DeandreyPHX',71,70,30.7,16.3,25.5,1159,7.2,12.3,0.585,0,0.1,0,2,2.7,0.746,33,1.33
'Gordon EricyHOU',68,53,31.7,16.2,24.5,1103,5.6,13.8,0.409,3.2,8.8,0.36,1.8,2.2,0.783,36,1.18
'Gordon AaronyORL',78,78,33.8,16,22.7,1246,6,13.4,0.449,1.6,4.4,0.349,2.4,3.2,0.731,31,1.19
'Bledsoe EricyMIL',78,78,29.1,15.9,26.2,1241,6,12.4,0.484,1.6,4.8,0.329,2.3,3,0.75,33,1.28
'Gobert RudyyUTA',81,80,31.8,15.9,23.9,1284,5.9,8.8,0.669,0,0,?,4.1,6.4,0.636,27,1.8
'Tatum JaysonyBOS',79,79,31.1,15.7,24.3,1243,5.9,13.1,0.45,1.5,3.9,0.373,2.5,2.9,0.855,34,1.2
'Brogdon MalcolmyIND',64,64,28.6,15.6,26.2,1001,5.9,11.7,0.505,1.6,3.8,0.426,2.2,2.4,0.928,25,1.34
'Nurkic JusufyPOR',72,72,27.4,15.6,27.4,1125,5.8,11.5,0.508,0,0.4,0.103,3.9,5.1,0.773,32,1.36
'Paul ChrisyOKC',58,58,32,15.6,23.4,906,5.2,12.4,0.419,2.2,6.1,0.358,3,3.5,0.862,32,1.26
'Schroder DennisyOKC',79,14,29.3,15.5,25.4,1224,5.8,14,0.414,1.6,4.6,0.341,2.4,2.9,0.819,32,1.11
'Jackson ReggieyDET',82,82,27.9,15.4,26.4,1260,5.4,12.8,0.421,2.1,5.7,0.369,2.5,2.9,0.864,32,1.2
'Lamb JeremyyIND',79,55,28.5,15.3,25.8,1208,5.5,12.4,0.44,1.5,4.2,0.348,2.9,3.3,0.888,31,1.23
'Oubre KellyyPHX',69,19,28,15.2,26,1047,5.4,12.2,0.445,1.6,4.9,0.32,2.7,3.5,0.775,?,1.24
'Fournier EvanyORL',81,81,31.5,15.1,23.1,1226,5.8,13.2,0.438,1.9,5.6,0.34,1.7,2.1,0.806,31,1.15
'Ross TerrenceyORL',81,0,26.5,15.1,27.3,1223,5.4,12.7,0.428,2.7,7,0.383,1.6,1.8,0.875,35,1.19
'Wade Dwyane',72,2,26.2,15,27.6,1083,5.8,13.3,0.433,1.2,3.6,0.33,2.3,3.2,0.708,35,1.13
'Ibaka SergeyTOR',74,51,27.2,15,26.6,1112,6.3,11.9,0.529,0.7,2.3,0.29,1.8,2.4,0.763,34,1.27
'Bagley MarvinySAC',62,4,25.3,14.9,28.3,923,5.7,11.4,0.504,0.5,1.5,0.313,2.9,4.2,0.691,32,1.31
'Mudiay EmmanuelyUTA',59,42,27.2,14.8,26.1,873,5.6,12.5,0.446,1.2,3.6,0.329,2.4,3.2,0.774,34,1.18
'Parker JabariyATL',64,17,26.9,14.5,25.9,930,5.8,11.7,0.493,1,3,0.313,2,2.9,0.712,27,1.24
'Lowry KyleyTOR',65,65,34,14.2,20.1,926,4.7,11.4,0.411,2.4,7,0.347,2.5,3,0.83,35,1.25
'Bogdanovic BogdanySAC',70,17,27.8,14.1,24.4,990,5.2,12.3,0.418,1.9,5.3,0.36,1.9,2.3,0.827,28,1.15
'Sabonis DomantasyIND',74,5,24.8,14.1,27.2,1043,5.6,9.5,0.59,0.1,0.2,0.529,2.8,3.9,0.715,30,1.49
'Morris MarcusyNYK',75,53,27.9,13.9,24,1046,5,11.3,0.447,1.9,5.2,0.375,1.9,2.3,0.844,31,1.24
'Adams StevenyOKC',80,80,33.4,13.9,19.9,1108,6,10.1,0.595,0,0,0,1.8,3.7,0.5,26,1.37
'Jackson JarenyMEM',58,56,26.1,13.8,25.3,798,5.1,10.2,0.506,0.9,2.4,0.359,2.6,3.4,0.766,36,1.35
'Gay RudyySAS',69,51,26.7,13.7,24.7,946,5.4,10.8,0.504,1.1,2.7,0.402,1.7,2.1,0.816,31,1.27
'Harris JoeyBKN',76,76,30.2,13.7,21.8,1041,4.9,9.8,0.5,2.4,5.1,0.474,1.4,1.8,0.827,27,1.39
'Kanter EnesyBOS',67,31,24.5,13.7,26.8,915,5.6,10.2,0.549,0.1,0.5,0.294,2.3,2.9,0.787,29,1.34
'Grant JeramiyDEN',80,77,32.7,13.6,20,1090,5.1,10.3,0.497,1.4,3.7,0.392,2,2.8,0.71,28,1.32
'Horford AlyPHI',68,68,29,13.6,22.5,925,5.7,10.6,0.535,1.1,3,0.36,1.1,1.4,0.821,24,1.28
'Gasol MarcyTOR',79,72,30.8,13.6,21.1,1071,4.9,11,0.448,1.3,3.5,0.363,2.4,3.2,0.759,29,1.23
